"Symbol","Description","Fund Type","Leveraged ETP","Regional Exposure: USA","Morningstar Category","Optionable ETFs","Average Volume (10 Day)"
"AAPB","GraniteShares 2x Long AAPL Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","105733.5"
"AAPU","Direxion Daily AAPL Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","1485781"
"AAPX","T-Rex 2X Long Apple Daily Target ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","135650.7"
"ADBG","Leverage Shares 2X Long ADBE Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","392028.3"
"AGQ","ProShares Ultra Silver","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Commodities","1","8567687"
"AMDG","Leverage Shares 2X Long AMD Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","130323.1"
"AMDL","GraniteShares 2x Long AMD Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","7389811.5"
"AMZU","Direxion Daily AMZN Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","2071736.5"
"AMZZ","GraniteShares 2x Long AMZN Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","238744.4"
"APLX","Tradr 2X Long APLD Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","596413.8"
"APPX","Tradr 2X Long APP Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","507863.5"
"ARMG","Leverage Shares 2X Long ARM Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","379715.9"
"ASMG","Leverage Shares 2X Long ASML Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","120339.4"
"ASTX","Tradr 2X Long ASTS Daily ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","2568897.7"
"AVGG","Leverage Shares 2X Long AVGO Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","224212.1"
"AVGX","Defiance Daily Target 2X Long AVGO ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","725453"
"AVL","Direxion Daily AVGO Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","542613"
"BABX","GraniteShares 2x Long BABA Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","744432.7"
"BAIG","Leverage Shares 2X Long BBAI Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","464041.3"
"BEX","Tradr 2X Long BE Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","599421.9"
"BITU","Proshares Ultra Bitcoin ETF","ETF, Leveraged","Yes","--","Digital Assets","1","4598103"
"BITX","2x Bitcoin Strategy ETF","ETF, Leveraged","Yes","--","Digital Assets","1","8748811"
"BMNG","Leverage Shares 2X Long BMNR Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","7999925.7"
"BMNU","T-REX 2X Long BMNR Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","35108925.6"
"BOIL","ProShares Ultra Bloomberg Natural Gas","ETF, Leveraged","Yes","--","Trading--Leveraged Commodities","1","11811693.2"
"BTCL","T-Rex 2X Long Bitcoin Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","104505.2"
"BULG","Leverage Shares 2X Long BULL Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","283156.9"
"CCUP","T-REX 2X Long CRCL Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","623501.3"
"CHAU","Direxion Daily CSI 300 China A Share Bull 2X Shares","ETF, Leveraged","Yes","0.00%","Trading--Leveraged Equity","1","199595.7"
"CIFU","T-REX 2X LONG CIFR DAILY TARGET ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","142816.3"
"CLSX","Tradr 2X Long CLSK Daily ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","488402.5"
"CONL","GraniteShares 2x Long COIN Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","5257567.7"
"COYY","GraniteShares YieldBOOST COIN ETF","ETF, Leveraged","Yes","--","Derivative Income","1","333562.1"
"CRCA","ProShares Ultra CRCL ETF","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","7142668.4"
"CRCG","Leverage Shares 2X Long CRCL Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","5412507.9"
"CRDU","Tradr 2X Long CRDO Daily ETF","ETF, Leveraged","Yes","0.00%","Trading--Leveraged Equity","1","662220.3"
"CRMG","Leverage Shares 2X Long CRM Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","161459.4"
"CRWG","Leverage Shares 2X Long CRWV Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","20741810.3"
"CRWL","GraniteShares 2x Long CRWD Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","110794"
"CRWU","T-REX 2X Long CRWV Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","2017035.4"
"CWEB","Direxion Daily CSI China Internet Bull 2X Shares","ETF, Leveraged","Yes","0.00%","Trading--Leveraged Equity","1","295601"
"CWVX","Tradr 2X Long CRWV Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","1606124.4"
"DDM","ProShares Ultra Dow30","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","567707.1"
"DFEN","Direxion Daily Aerospace & Defense Bull 3X Shares Direxion Daily Aerospace","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","325888.3"
"DJTU","T-Rex 2X Long DJT Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","1543568.6"
"DPST","Direxion Daily Regional Banks Bull 3X Shares","ETF, Leveraged","Yes","96.86%","Trading--Leveraged Equity","1","364650.4"
"DRN","Direxion Daily Real Estate Bull 3X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","432876.2"
"EDC","Direxion Daily MSCI Emerging Markets Bull 3X Shares","ETF, Leveraged","Yes","1.07%","Trading--Leveraged Equity","1","115692.1"
"ERX","Direxion Daily Energy Bull 2X Shares","ETF, Leveraged","Yes","100.00%","Trading--Leveraged Equity","1","335275.8"
"ETHT","Proshares Ultra Ether ETF","ETF, Leveraged","Yes","--","Digital Assets","1","1257360.4"
"ETHU","2x Ether ETF","ETF, Leveraged","Yes","--","Digital Assets","1","5124370"
"ETU","T-Rex 2X Long Ether Daily Target ETF","ETF, Leveraged","Yes","--","Trading--Miscellaneous","1","112885.9"
"FAS","Direxion Daily Financial Bull 3X Shares","ETF, Leveraged","Yes","98.54%","Trading--Leveraged Equity","1","517329.5"
"FBL","GraniteShares 2x Long META Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","955092"
"FIGG","Leverage Shares 2x Long FIG Daily ETF","ETF, Leveraged","Yes","--","Trading--Leveraged Equity","1","135103.2"
