symbol,date,return,direction,move_type,avg_volume_5d,move_volume,volume_surge_pct,consecutive_increases,volume_trend_pct,avg_return_5d,volume_pattern
DJTU,2025-12-18,83.63,UP,single_day,378480,11808100,3019.9,1,-21.6,-2.2,EXPLOSIVE_SURGE
MSOX,2025-12-12,107.85,UP,single_day,962800,12065000,1153.1,2,44.5,-1.28,EXPLOSIVE_SURGE
PLTG,2026-01-02,-11.04,DOWN,single_day,65020,705300,984.7,3,118.9,-4.61,EXPLOSIVE_SURGE
ASMG,2026-01-02,17.4,UP,single_day,33560,240000,615.1,2,95.9,0.13,EXPLOSIVE_SURGE
AVL,2025-12-12,-23.16,DOWN,single_day,470480,3240500,588.8,3,73.6,2.28,EXPLOSIVE_SURGE
NVOX,2025-12-23,14.55,UP,single_day,514120,3381900,557.8,2,39.6,-0.94,EXPLOSIVE_SURGE
RIOX,2025-12-30,-11.34,DOWN,single_day,220380,1253200,468.7,1,-38.6,-4.44,EXPLOSIVE_SURGE
AVGG,2025-12-12,-23.29,DOWN,single_day,241200,1332800,452.6,3,86.1,2.13,EXPLOSIVE_SURGE
APPX,2026-01-02,-16.45,DOWN,single_day,184700,1012000,447.9,3,-2.2,-3.84,EXPLOSIVE_SURGE
PTIR,2026-01-02,-11.15,DOWN,single_day,1442480,7896000,447.4,3,32.4,-4.4,EXPLOSIVE_SURGE
AVGX,2025-12-12,-23.37,DOWN,single_day,1044720,5455900,422.2,2,73.7,2.12,EXPLOSIVE_SURGE
UBRL,2025-12-10,-10.94,DOWN,single_day,107440,544200,406.5,1,-30.1,-0.86,EXPLOSIVE_SURGE
SOFX,2026-01-06,-15.53,DOWN,single_day,467280,1864600,299.0,3,-5.3,4.45,EXPLOSIVE_SURGE
AMDG,2025-12-17,-10.72,DOWN,single_day,50820,186900,267.8,3,1.2,-2.83,EXPLOSIVE_SURGE
ORCX,2025-12-11,-22.07,DOWN,single_day,5476500,19787100,261.3,2,51.7,2.08,EXPLOSIVE_SURGE
SOFX,2025-12-05,-12.28,DOWN,single_day,409540,1472800,259.6,3,41.4,-0.22,EXPLOSIVE_SURGE
LABX,2026-01-05,-13.9,DOWN,single_day,533900,1891300,254.2,2,102.2,3.75,EXPLOSIVE_SURGE
ADBG,2026-01-02,-10.89,DOWN,2_day,191960,668300,248.1,1,-3.9,-0.51,EXPLOSIVE_SURGE
PLTU,2026-01-02,-11.14,DOWN,single_day,690340,2397500,247.3,2,29.3,-4.42,EXPLOSIVE_SURGE
CRWL,2026-01-02,-10.05,DOWN,2_day,42500,147100,246.1,2,49.3,-1.16,EXPLOSIVE_SURGE
PXIU,2026-01-05,40.35,UP,single_day,203560,697700,242.7,3,42.3,1.6,EXPLOSIVE_SURGE
BABX,2026-01-02,12.43,UP,single_day,368580,1262800,242.6,2,11.3,-1.21,EXPLOSIVE_SURGE
WULX,2025-12-12,-18.78,DOWN,single_day,170320,578600,239.7,3,34.1,4.44,EXPLOSIVE_SURGE
XRPT,2026-01-05,34.61,UP,single_day,1651740,5514400,233.9,2,10.0,3.53,EXPLOSIVE_SURGE
DPST,2025-12-10,10.32,UP,single_day,455740,1521300,233.8,2,-36.9,0.16,EXPLOSIVE_SURGE
