Symbol,Description
AAPB,GraniteShares 2x Long AAPL Daily ETF
AAPU,Direxion Daily AAPL Bull 2X Shares
AAPX,T-Rex 2X Long Apple Daily Target ETF
ADBG,Leverage Shares 2X Long ADBE Daily ETF
AGQ,ProShares Ultra Silver
AMDG,Leverage Shares 2X Long AMD Daily ETF
AMDL,GraniteShares 2x Long AMD Daily ETF
AMZU,Direxion Daily AMZN Bull 2X Shares
AMZZ,GraniteShares 2x Long AMZN Daily ETF
APLX,Tradr 2X Long APLD Daily ETF
APPX,Tradr 2X Long APP Daily ETF
ARMG,Leverage Shares 2X Long ARM Daily ETF
ASMG,Leverage Shares 2X Long ASML Daily ETF
ASTX,Tradr 2X Long ASTS Daily ETF
AVGG,Leverage Shares 2X Long AVGO Daily ETF
AVGX,Defiance Daily Target 2X Long AVGO ETF
AVL,Direxion Daily AVGO Bull 2X Shares
BABX,GraniteShares 2x Long BABA Daily ETF
BAIG,Leverage Shares 2X Long BBAI Daily ETF
BEX,Tradr 2X Long BE Daily ETF
BITU,Proshares Ultra Bitcoin ETF
BITX,2x Bitcoin Strategy ETF
BMNG,Leverage Shares 2X Long BMNR Daily ETF
BMNU,T-REX 2X Long BMNR Daily Target ETF
BOIL,ProShares Ultra Bloomberg Natural Gas
BTCL,T-Rex 2X Long Bitcoin Daily Target ETF
BULG,Leverage Shares 2X Long BULL Daily ETF
CCUP,T-REX 2X Long CRCL Daily Target ETF
CHAU,Direxion Daily CSI 300 China A Share Bull 2X Shares
CIFU,T-REX 2X LONG CIFR DAILY TARGET ETF
CLSX,Tradr 2X Long CLSK Daily ETF
CONL,GraniteShares 2x Long COIN Daily ETF
COYY,GraniteShares YieldBOOST COIN ETF
CRCA,ProShares Ultra CRCL ETF
CRCG,Leverage Shares 2X Long CRCL Daily ETF
CRDU,Tradr 2X Long CRDO Daily ETF
CRMG,Leverage Shares 2X Long CRM Daily ETF
CRWG,Leverage Shares 2X Long CRWV Daily ETF
CRWL,GraniteShares 2x Long CRWD Daily ETF
CRWU,T-REX 2X Long CRWV Daily Target ETF
CWEB,Direxion Daily CSI China Internet Bull 2X Shares
CWVX,Tradr 2X Long CRWV Daily ETF
DDM,ProShares Ultra Dow30
DFEN,Direxion Daily Aerospace & Defense Bull 3X Shares Direxion Daily Aerospace
DJTU,T-Rex 2X Long DJT Daily Target ETF
DPST,Direxion Daily Regional Banks Bull 3X Shares
DRN,Direxion Daily Real Estate Bull 3X Shares
EDC,Direxion Daily MSCI Emerging Markets Bull 3X Shares
ERX,Direxion Daily Energy Bull 2X Shares
ETHT,Proshares Ultra Ether ETF
ETHU,2x Ether ETF
ETU,T-Rex 2X Long Ether Daily Target ETF
FAS,Direxion Daily Financial Bull 3X Shares
FBL,GraniteShares 2x Long META Daily ETF
FIGG,Leverage Shares 2x Long FIG Daily ETF
GGLL,Direxion Daily GOOGL Bull 2X Shares
GMEU,T-Rex 2X Long GME Daily Target ETF
GUSH,Direxion Daily S&P Oil & Gas Exp. & Prod. Bull 2X Shares
HIMZ,Defiance Daily Target 2X Long HIMS ETF
HOOG,Leverage Shares 2X Long HOOD Daily ETF
HOOW,Roundhill HOOD WeeklyPay ETF
HOOX,Defiance Daily Target 2X Long HOOD ETF
INTW,GraniteShares 2x Long INTC Daily ETF
IONL,GraniteShares 2x Long IONQ Daily ETF
IONX,Defiance Daily Target 2X Long IONQ ETF
IRE,Defiance Daily Target 2X Long IREN ETF
IREX,Tradr 2X Long IREN Daily ETF
JNUG,Direxion Daily Junior Gold Miners Index Bull 2X Shares
JOBX,Tradr 2X Long JOBY Daily ETF
KORU,Direxion Daily South Korea Bull 3X Shares
LABU,Direxion Daily S&P Biotech Bull 3X Shares
LABX,Tradr 2X Long ALAB Daily ETF
LCDL,GraniteShares 2x Long LCID Daily ETF
LLYX,Defiance Daily Target 2X Long LLY ETF
METU,Direxion Daily META Bull 2X ETF
MSFL,GraniteShares 2x Long MSFT Daily ETF
MSFU,Direxion Daily MSFT Bull 2X Shares
MSOX,AdvisorShares MSOS Daily Leveraged ETF
MST,Defiance Leveraged Long + Income MSTR ETF
MSTU,T-Rex 2X Long MSTR Daily Target ETF
MSTW,Roundhill MSTR WeeklyPay ETF
MSTX,Defiance Daily Target 2X Long MSTR ETF
MULL,GraniteShares 2x Long MU Daily ETF
NAIL,Direxion Daily Homebuilders & Supplies Bull 3X Shares
NBIG,Leverage Shares 2X Long NBIS Daily ETF
NEBX,Tradr 2X Long NBIS Daily ETF
NFLU,T-REX 2X Long NFLX Daily Target ETF
NUGT,Direxion Daily Gold Miners Index Bull 2X Shares
NVDG,Leverage Shares 2X Long NVDA Daily ETF
NVDL,GraniteShares 2x Long NVDA Daily ETF
NVDU,Direxion Daily Nvda Bull 2X Shares
NVDW,Roundhill NVDA WeeklyPay ETF
NVDX,T-Rex 2X Long NVIDIA Daily Target ETF
NVOX,Defiance Daily Target 2X Long NVO ETF
NVTX,Tradr 2X Long NVTS Daily ETF
NVYY,GraniteShares YieldBOOST NVDA ETF
OKLL,Defiance Daily Target 2X Long OKLO ETF
OPEX,Tradr 2X Long OPEN Daily ETF
ORCX,Defiance Daily Target 2X Long ORCL ETF
PILL,Direxion Daily Pharmaceutical & Medical Bull 3X Shares ETF
PLTG,Leverage Shares 2X Long PLTR Daily ETF
PLTU,Direxion Daily PLTR Bull 2X Shares
PLTW,Roundhill PLTR WeeklyPay ETF
PTIR,GraniteShares 2x Long PLTR Daily ETF
PXIU,T-REX 2X Long UPXI Daily Target ETF
PYPG,Leverage Shares 2X Long PYPL Daily ETF
QBTX,Tradr 2X Long QBTS Daily ETF
QLD,ProShares Ultra QQQ
QPUX,Defiance 2X Daily Long Pure Quantum ETF
QUBX,Tradr 2X Long QUBT Daily ETF
RDTL,GraniteShares 2x Long RDDT Daily ETF
RETL,Direxion Daily Retail Bull 3X Shares
RGTU,Tradr 2X Long RGTI Daily ETF
RGTX,Defiance Daily Target 2X Long RGTI ETF
RIOX,Defiance Daily Target 2X Long RIOT ETF
RKLX,Defiance Daily Target 2X Long RKLB ETF
ROBN,T-Rex 2X Long HOOD Daily Target ETF
SLON,ProShares Ultra Solana ETF
SMCL,GraniteShares 2x Long SMCI Daily ETF
SMCX,Defiance Daily Target 2X Long SMCI ETF
SMU,Tradr 2X Long SMR Daily ETF
SMUP,T-REX 2X Long SMR Daily Target ETF
SOFX,Defiance Daily Target 2X Long SOFI ETF
SOLT,2x Solana ETF
SOXL,Direxion Daily Semiconductor Bull 3X Shares
SPXL,Direxion Daily S&P500® Bull 3X Shares
SSO,ProShares Ultra S&P500
TECL,Direxion Daily Technology Bull 3X Shares
